Date,County Name,Partially Vaccinated,Fully Vaccinated,First Booster Dose,Second Booster Dose,Bivalent Booster 1
11/03/2021,Pike,53,33,281,,
12/23/2020,Clarion,100,,,,
12/23/2020,Clearfield,66,,,,
12/23/2020,Clinton,22,,,,
02/02/2021,York,694,783,,,
12/23/2020,Crawford,26,,,,
02/17/2021,Warren,261,42,,,
05/13/2021,Butler,455,804,,,
12/23/2020,Elk,19,,,,
12/11/2021,Bedford,15,12,30,,
12/23/2020,Fulton,23,,,,
12/23/2020,Huntingdon,23,,,,
12/23/2020,Jefferson,74,,,,
12/23/2020,Juniata,11,,,,
09/12/2022,Montgomery,89,147,39,,2146
08/17/2022,Monroe,19,11,14,18,
12/23/2020,Lawrence,66,,,,
12/23/2020,Lebanon,89,,,,
06/11/2022,Carbon,1,7,,10,
06/30/2021,Lancaster,322,643,,,
02/04/2021,Westmoreland,1221,432,,,
12/23/2020,Mckean,67,,,,
12/23/2020,Mercer,119,,,,
12/23/2020,Mifflin,48,,,,
10/15/2021,Bucks,401,347,1332,,
03/13/2022,Philadelphia,95,141,142,,
11/10/2021,Huntingdon,25,10,136,,
12/23/2020,Perry,32,,,,
01/03/2022,Dauphin,324,197,580,,
12/23/2020,Pike,23,,,,
12/23/2020,Potter,36,,,,
12/23/2020,Schuylkill,252,,,,
12/23/2020,Snyder,27,,,,
12/23/2020,Sullivan,3,,,,
12/23/2020,Susquehanna,29,,,,
12/23/2020,Tioga,88,,,,
03/16/2021,Somerset,918,698,,,
12/16/2021,Indiana,107,140,329,,
12/23/2020,Warren,154,,,,
12/23/2020,Wayne,58,,,,
12/30/2021,Berks,568,261,1302,,
07/17/2021,Montgomery,327,447,,,
02/23/2021,Westmoreland,1184,1755,,,
12/24/2020,Adams,13,,,,
12/29/2020,Franklin,265,,,,
12/24/2020,Armstrong,22,,,,
11/06/2022,Lancaster,2,1,,,220
12/24/2020,Bedford,16,,,,
12/20/2021,Lackawanna,277,108,793,,
12/24/2020,Blair,5,,,,
12/24/2020,Bradford,3,,,,
09/22/2022,Lackawanna,20,23,3,,307
12/24/2020,Cameron,1,,,,
12/24/2020,Carbon,63,,,,
12/24/2020,Centre,13,,,,
12/24/2020,Chester,135,,,,
12/24/2020,Clarion,11,,,,
12/24/2020,Clearfield,34,,,,
12/24/2020,Clinton,3,,,,
12/24/2020,Columbia,42,,,,
12/24/2020,Crawford,6,,,,
10/07/2022,Carbon,5,3,,,80
02/04/2021,Erie,1252,292,,,
12/24/2020,Delaware,161,,,,
12/24/2020,Elk,2,,,,
12/24/2020,Erie,138,,,,
12/24/2020,Fayette,26,,,,
12/24/2020,Forest,3,,,,
12/14/2021,Blair,114,80,231,,
12/24/2020,Fulton,4,,,,
12/24/2020,Greene,1,,,,
12/24/2020,Indiana,55,,,,
12/24/2020,Juniata,7,,,,
12/24/2020,Lackawanna,41,,,,
05/06/2022,Westmoreland,34,62,88,278,
12/24/2020,Lawrence,13,,,,
12/24/2020,Lebanon,83,,,,
01/14/2021,Centre,158,13,,,
12/24/2020,Luzerne,100,,,,
12/24/2020,Lycoming,6,,,,
12/24/2020,Mckean,64,,,,
12/24/2020,Mercer,44,,,,
12/24/2020,Mifflin,19,,,,
08/11/2021,Delaware,579,475,,,
08/08/2021,Bucks,289,170,,,
12/24/2020,Montour,56,,,,
12/27/2021,Crawford,57,26,81,,
12/24/2020,Northumberland,35,,,,
12/24/2020,Potter,1,,,,
12/24/2020,Schuylkill,186,,,,
12/24/2020,Snyder,10,,,,
03/14/2022,Montgomery,101,95,155,,
12/24/2020,Susquehanna,30,,,,
12/24/2020,Tioga,3,,,,
05/25/2022,Montgomery,197,240,439,663,
12/24/2020,Warren,58,,,,
12/24/2020,Washington,102,,,,
12/24/2020,Wayne,11,,,,
12/24/2020,York,194,,,,
12/25/2020,Adams,1,,,,
12/25/2020,Allegheny,7,,,,
12/25/2020,Beaver,1,,,,
12/25/2020,Bucks,36,,,,
12/25/2020,Chester,2,,,,
12/25/2020,Clearfield,1,,,,
01/05/2021,Elk,44,,,,
12/25/2020,Dauphin,1,,,,
12/25/2020,Delaware,9,1,,,
12/25/2020,Fulton,1,,,,
12/25/2020,Lancaster,6,,,,
12/25/2020,Lebanon,2,,,,
12/25/2020,Lehigh,3,,,,
12/25/2020,Montgomery,41,,,,
12/25/2020,Montour,1,,,,
11/01/2021,Mifflin,24,20,59,,
12/25/2020,Tioga,1,,,,
12/25/2020,Westmoreland,2,,,,
